ProductType,term,amount,Secured,coApplicant,CreditScore,Residency,CitizenOrNot,visaSubclass,visaTimeLeftInMonths,age,LoanPurpose,RepaymentFrequency,interest_rate
1,24,13737,0,1,347,1,0,55,35,62,3,2,18.28
0,84,6724,0,1,735,0,0,47,27,63,5,1,23.42
1,24,7778,0,1,171,1,0,73,36,55,1,2,17.71
0,84,12668,0,1,189,1,1,0,27,63,0,1,16.76
0,24,10603,1,0,754,2,1,4,18,60,2,0,19.3
1,84,8781,1,0,259,0,1,60,20,35,2,0,18.5
1,36,6196,1,0,964,1,1,9,10,52,5,1,17.99
1,12,14935,1,0,535,0,0,59,2,56,3,2,22.04
1,84,7353,1,0,774,1,1,96,26,40,4,0,24.07
1,84,10251,1,0,1014,0,0,73,23,46,1,2,19.93
1,84,13734,1,1,1045,0,1,2,0,54,0,1,18.24
1,60,14519,1,0,589,2,1,41,21,51,0,0,20.34
1,36,5727,1,1,98,1,0,97,3,18,3,2,23.29
0,60,10895,1,0,287,0,1,33,4,29,5,1,21.39
1,72,13405,1,1,446,2,1,76,10,39,4,0,21.07
0,12,11200,0,1,485,0,1,23,18,28,6,1,21.81
0,60,8211,0,1,479,1,1,81,14,51,5,0,23.27
1,24,9722,1,1,963,0,0,4,31,48,2,0,21.31
1,84,10322,0,0,687,0,0,81,13,48,1,1,17.55
0,60,9078,0,1,946,0,0,73,1,33,3,2,19.25
1,84,14222,0,0,479,2,1,30,26,54,5,0,21.27
0,84,12777,0,0,877,0,0,72,19,42,6,2,18.39
0,12,11793,0,0,981,2,1,41,1,24,1,0,16.21
1,84,14542,0,1,1053,0,1,81,5,21,4,2,24.01
0,24,11112,0,0,652,2,0,61,20,40,6,2,20.37
0,12,13381,1,1,978,1,0,6,1,28,5,0,15.34
0,24,10117,1,0,191,0,0,89,35,45,1,0,15.41
1,60,8052,1,0,916,0,1,26,1,53,4,0,18.34
1,84,9236,0,1,1040,2,1,50,19,59,5,2,17.11
0,72,10030,0,1,1097,0,1,87,11,47,0,2,16.77
0,72,7482,1,1,1132,0,1,29,8,28,2,1,15.95
0,48,6725,1,0,219,0,1,84,3,30,4,0,24.78
0,36,9305,1,0,429,2,1,49,32,22,0,1,22.29
1,60,13805,1,0,676,2,0,75,12,59,1,1,24.1
0,12,14512,1,1,833,2,0,6,14,23,0,2,16.07
1,60,7672,1,0,234,1,0,46,2,28,2,2,24.83
0,24,10556,1,1,750,2,0,45,35,60,1,1,21.16
0,60,5568,1,0,648,0,1,4,10,43,3,0,19.95
0,72,11514,0,0,903,1,0,45,11,59,2,0,19.36
0,24,8926,1,1,1113,0,0,38,14,53,1,0,15.11
0,12,14426,0,0,1135,1,0,19,5,61,6,2,21.49
0,36,6792,1,1,73,1,0,94,5,46,1,1,23.46
1,12,14308,0,0,690,1,0,62,12,42,1,0,19.49
1,72,7806,1,1,886,1,1,40,24,40,3,2,15.76
0,60,10507,0,1,251,1,0,72,14,46,1,2,22.96
1,48,11200,1,1,66,2,1,60,4,47,3,1,23.09
0,36,11927,0,0,598,1,0,94,21,51,5,1,21.78
0,84,7249,0,0,702,1,1,78,20,46,0,1,22.31
0,84,8683,1,0,623,0,0,22,31,65,6,1,18.83
0,12,8560,1,0,889,2,0,6,6,18,6,2,21.57
0,84,10195,1,0,1117,1,1,27,29,21,5,2,18.49
1,36,5656,0,0,298,2,0,10,34,30,2,2,16.46
0,60,12568,0,1,736,2,0,73,11,47,6,0,23.79
1,24,5660,1,1,506,0,1,29,0,35,5,2,20.31
0,36,9698,0,1,89,0,1,58,21,47,6,1,19.08
1,48,10058,0,0,216,1,1,85,31,19,4,0,18.79
1,48,12612,1,0,323,2,0,44,25,41,1,0,16.78
1,84,10844,1,0,688,1,0,6,12,31,2,1,24.25
0,84,8988,1,0,415,0,0,41,22,68,6,0,15.45
0,60,7577,0,0,1165,0,0,100,24,67,5,2,21.35
0,84,8007,0,1,1110,0,0,11,0,22,6,2,19.32
1,36,5318,1,0,1113,1,0,86,2,62,6,0,16.62
1,24,12562,0,0,465,1,1,22,24,32,0,2,15.64
0,24,8983,0,0,511,2,0,83,19,26,6,0,20.7
1,24,11788,0,1,824,0,1,31,35,32,2,2,24.31
0,24,8686,0,1,795,1,1,51,16,51,1,0,20.5
0,84,10586,0,1,816,2,0,41,0,37,2,1,20.79
0,72,14827,1,0,30,1,0,81,24,33,1,2,24.07
0,72,8629,1,1,321,2,1,69,31,61,0,1,18.64
1,60,6041,1,1,89,1,1,48,22,46,0,1,18.04
0,24,14408,0,1,246,1,0,72,28,48,0,1,17.63
1,36,7708,0,1,1058,0,0,53,16,24,3,0,20.12
0,36,6903,1,1,689,0,1,71,10,64,0,2,23.97
0,72,12755,1,1,32,0,0,22,11,41,6,0,17.95
1,84,14258,0,1,871,0,0,69,0,38,4,0,21.73
0,12,12758,1,1,731,2,1,31,36,63,0,1,18.18
1,12,14621,1,1,124,2,1,98,28,50,3,1,16.74
1,48,6982,1,0,261,1,0,81,19,27,4,2,21.93
1,12,6848,1,0,131,0,0,89,17,30,1,1,22.05
1,72,13310,0,0,501,0,0,75,18,44,2,2,21.64
1,36,13456,0,1,766,2,1,37,18,22,5,0,24.25
1,24,7375,0,0,263,2,1,24,31,43,4,0,15.45
1,72,10603,1,1,355,1,0,51,15,18,1,1,19.31
1,48,7330,1,1,593,1,0,97,8,43,2,1,19.89
1,84,10652,0,1,880,2,1,28,18,43,5,2,17.5
1,36,13823,1,0,81,0,1,60,25,60,0,1,20.82
0,24,5546,1,0,717,0,0,2,13,54,1,2,18.32
0,36,12186,0,0,1072,2,1,7,6,35,6,1,18.71
1,72,9861,0,0,535,0,1,26,25,27,3,2,17.94
1,60,6145,1,0,719,1,0,31,14,28,2,0,17.44
1,84,5196,1,0,1119,1,1,99,32,70,0,2,21.13
0,36,5198,0,0,193,0,1,26,10,27,6,0,15.15
1,72,7724,1,1,865,0,1,25,30,38,3,2,16.22
1,36,9775,0,0,690,2,0,19,25,54,3,2,16.19
1,72,5012,1,0,573,1,1,20,31,62,0,0,21.01
1,60,6725,1,1,718,2,0,25,29,64,3,0,20.38
1,84,10964,0,0,219,0,0,2,28,20,2,2,17.98
1,72,9496,0,0,938,1,0,51,6,54,0,2,23.74
0,48,7062,0,1,23,1,0,50,0,55,3,2,24.89
1,48,14253,0,0,934,1,0,87,30,22,4,1,16.36
0,12,5761,1,0,123,2,1,90,7,69,2,0,22.03
0,84,6237,0,0,345,2,0,60,3,20,5,1,23.98
1,12,9599,1,1,655,1,0,65,6,57,0,2,24.08
1,48,10400,0,0,583,1,1,58,14,63,5,0,20.76
0,24,5612,0,0,929,2,0,70,31,31,2,2,25.0
0,84,14117,1,0,516,1,0,40,6,48,4,0,21.74
0,48,8280,1,0,113,0,0,96,22,23,4,0,22.41
1,48,8538,1,1,697,0,0,14,26,66,1,2,21.06
1,72,10900,0,1,50,2,1,25,6,37,2,2,22.05
1,36,14300,0,1,327,1,1,95,2,20,6,0,18.68
0,36,9269,1,0,137,0,1,34,2,33,2,0,18.86
0,36,7587,0,0,717,1,1,47,15,24,4,1,18.91
1,36,8971,1,1,57,2,0,11,34,27,2,0,17.54
1,84,11106,0,0,1087,1,1,30,36,47,6,1,19.51
1,36,5179,1,0,795,0,1,83,19,67,4,0,24.64
1,48,8656,1,0,239,0,1,42,33,33,4,0,22.82
1,48,10530,1,0,726,2,1,96,8,25,3,0,20.34
0,48,12127,1,0,935,2,1,50,32,24,3,1,18.8
1,60,5873,1,1,1090,0,1,0,30,20,1,1,15.41
1,12,12283,1,1,707,1,1,34,15,47,4,1,18.13
1,84,7572,0,0,820,0,1,42,33,56,4,1,24.56
0,84,9480,1,0,1028,2,0,68,3,21,3,0,18.0
0,60,14161,0,1,542,1,0,19,19,37,2,0,15.58
1,60,7046,0,1,1099,2,0,95,24,61,3,0,16.28
1,24,14295,0,0,832,0,1,7,27,30,6,0,23.32
1,72,11891,1,0,1110,1,1,78,18,68,5,2,15.78
0,48,14888,1,1,1106,0,0,33,20,65,1,2,19.48
1,36,8261,1,1,1199,2,1,9,23,56,2,2,15.4
1,48,12038,1,1,784,0,1,39,4,35,0,0,16.34
0,36,7495,1,1,305,2,0,98,18,31,5,0,20.02
0,12,6530,0,0,1092,2,1,100,13,52,0,1,18.58
1,84,5282,1,1,793,0,0,0,6,52,4,1,15.44
1,72,14998,0,0,610,2,0,29,6,28,3,1,17.79
1,24,12878,1,0,699,2,1,97,11,63,5,0,22.09
0,72,10156,0,1,853,2,1,11,10,52,1,1,15.58
0,60,9941,0,0,704,0,0,52,29,61,1,0,22.79
1,12,13384,0,1,739,2,1,1,6,18,2,1,15.86
0,12,11920,0,1,932,2,0,93,13,34,3,2,20.74
0,48,12579,1,1,880,1,1,32,16,67,0,2,24.29
1,48,11009,0,1,881,0,1,27,21,57,3,0,22.18
0,72,10281,1,0,930,0,0,63,0,58,5,0,17.1
0,84,5053,1,1,373,2,0,77,9,35,4,2,21.2
0,48,9956,0,1,409,1,1,45,29,63,0,0,22.54
0,84,11795,1,1,953,2,0,60,3,70,4,0,22.14
0,36,8426,1,1,790,1,1,43,27,56,2,1,24.71
0,24,5474,1,0,445,2,0,0,1,40,1,2,15.09
1,24,13186,0,0,843,0,0,23,7,65,5,1,15.59
0,24,7628,0,0,530,1,1,49,0,54,2,1,20.44
0,84,6251,0,0,1101,2,1,33,34,36,0,0,20.29
1,12,9786,0,0,419,1,0,45,19,57,4,2,22.41
1,48,8285,1,0,151,0,0,41,12,67,5,1,19.57
1,36,11254,0,1,801,0,0,19,19,38,6,0,15.76
0,36,9318,0,0,522,2,0,29,6,35,1,2,18.08
1,12,11242,0,0,896,1,0,24,16,28,5,0,21.16
0,84,9233,0,1,494,0,1,54,13,38,3,0,18.88
0,72,6378,1,0,584,1,0,100,10,45,5,0,15.24
1,24,5275,0,1,711,1,0,32,24,48,6,2,21.83
1,72,8654,0,0,839,2,0,38,25,46,6,1,19.43
0,60,10268,1,1,646,2,1,72,33,27,6,0,19.46
0,12,7628,0,0,275,1,0,21,26,21,6,2,22.67
1,72,13289,0,0,158,2,1,28,15,62,6,2,17.27
1,72,8578,1,0,978,1,0,49,20,37,5,2,15.47
1,24,10884,1,0,628,2,0,12,26,40,1,1,15.18
1,24,8445,0,1,40,2,1,22,6,51,6,2,15.99
1,84,14560,0,0,666,2,0,25,34,48,5,0,17.81
0,24,7640,1,1,1162,2,0,42,33,57,0,0,21.73
0,12,10514,0,1,462,1,0,70,18,34,0,1,18.0
1,48,8411,0,1,603,2,1,49,7,57,5,1,20.1
1,60,6704,1,1,1081,2,1,94,19,26,5,0,21.58
1,60,11364,1,0,47,2,0,71,16,48,0,2,19.94
1,24,8404,1,0,502,2,0,68,18,27,6,2,17.04
1,48,8343,0,1,249,2,1,27,18,18,0,1,15.09
0,36,13304,0,0,25,1,0,19,11,18,1,0,19.16
1,36,7907,1,1,1159,1,0,36,35,63,2,1,20.62
1,72,9868,0,1,665,1,1,16,4,66,3,0,16.49
1,72,11634,0,1,1115,0,0,5,4,26,6,2,21.26
1,12,7645,1,0,802,0,1,2,2,30,1,1,15.46
1,84,7619,0,0,333,2,0,96,19,19,1,1,20.93
1,84,13577,0,1,1170,0,0,58,3,51,2,0,16.85
0,36,11243,1,1,161,1,1,41,28,43,5,2,22.04
1,24,8031,1,0,195,1,1,62,19,44,4,0,15.65
1,60,8517,1,0,34,1,1,70,14,45,5,2,17.0
1,72,7002,0,0,820,2,1,33,16,60,3,0,20.9
1,24,12208,0,1,552,1,1,26,6,56,4,1,17.24
0,72,6812,0,0,1114,1,0,84,17,43,2,2,22.8
0,12,13519,0,1,438,2,0,19,11,31,0,2,23.11
1,36,12810,1,0,284,2,0,48,3,34,5,2,22.93
1,84,5830,0,0,560,2,1,59,21,22,4,0,24.41
0,24,5573,1,1,274,2,0,7,18,48,5,0,21.03
1,72,11870,1,1,1150,1,1,68,8,68,2,2,15.17
0,72,12425,1,0,261,1,0,75,34,24,5,2,23.61
1,84,6449,0,1,989,2,0,53,31,58,3,2,17.7
1,72,14385,1,1,1136,1,1,74,19,70,4,1,24.63
1,12,10450,0,0,42,2,1,97,0,23,0,1,19.37
1,36,5538,1,1,272,1,1,36,4,53,6,2,20.72
0,36,7559,0,0,230,1,1,62,13,35,6,1,24.5
0,24,7532,0,0,464,1,1,27,23,33,6,0,20.13
1,36,9387,0,1,1149,1,0,88,5,60,3,2,18.69
0,24,13582,1,1,451,2,1,1,32,31,1,2,16.7
1,60,14465,1,1,220,0,1,12,19,51,1,1,22.41
1,12,8770,1,0,291,0,1,51,4,29,2,2,23.72
0,84,7066,0,0,572,0,0,3,14,33,1,0,22.33
0,12,13212,1,0,530,1,0,20,36,57,3,2,23.39
1,48,10507,1,1,1132,0,0,64,36,54,4,1,19.42
1,60,6141,1,1,883,0,1,18,29,26,0,1,22.04
1,12,10137,0,0,345,2,0,49,18,65,5,1,21.24
1,12,14226,1,1,995,2,0,10,1,39,5,0,23.27
1,48,13870,0,1,255,1,0,87,2,62,1,2,15.5
1,36,5198,0,0,1076,0,1,50,6,36,0,2,24.69
0,36,10339,0,1,156,1,0,83,14,40,6,2,22.51
1,36,7395,1,1,1072,0,0,77,20,33,3,2,18.76
1,84,10267,0,1,1071,1,0,93,26,30,0,2,23.71
